"Year","Total","Male","Female"
1920,55963000,28044000,27919000
1921,56666000,28412000,28254000
1922,57390000,28800000,28590000
1923,58119000,29177000,28942000
1924,58876000,29569000,29307000
1925,59737000,30013000,29724000
1926,60741000,30521000,30220000
1927,61659000,30982000,30678000
1928,62595000,31449000,31146000
1929,63461000,31891000,31570000
1930,64450000,32390000,32060000
1931,65457000,32899000,32559000
1932,66434000,33355000,33079000
1933,67432000,33845000,33587000
1934,68309000,34294000,34015000
1935,69254000,34734000,34520000
1936,70114000,35103000,35011000
1937,70630000,35128000,35503000
1938,71013000,35125000,35888000
1939,71380000,35226000,36154000
1940,71933000,35387000,36546000
1941,72218000,,
1942,72880000,,
1943,73903000,,
1944,74433000,,
1945,72147000,,
1946,75750000,,
1947,78101000,38129000,39972000
1948,80002000,39130000,40873000
1949,81773000,40063000,41710000
1950,83200000,40812000,42388000
1951,84541000,41489000,43052000
1952,85808000,42128000,43680000
1953,86981000,42721000,44260000
1954,88239000,43344000,44895000
1955,89276000,43861000,45415000
1956,90172000,44301000,45871000
1957,90928000,44671000,46258000
1958,91767000,45078000,46689000
1959,92641000,45504000,47137000
1960,93419000,45878000,47541000
1961,94287000,46300000,47987000
1962,95181000,46733000,48447000
1963,96156000,47208000,48947000
1964,97182000,47710000,49471000
1965,98275000,48244000,50031000
1966,99036000,48611000,50425000
1967,100196000,49180000,51016000
1968,101331000,49739000,51592000
1969,102536000,50334000,52202000
1970,103720000,50918000,52802000
1971,105145000,51607000,53538000
1972,107595000,52822000,54773000
1973,109104000,53606000,55498000
1974,110573000,54376000,56197000
1975,111940000,55091000,56849000
1976,113094000,55658000,57436000
1977,114165000,56184000,57981000
1978,115190000,56682000,58508000
1979,116155000,57151000,59004000
1980,117060000,57594000,59467000
1981,117902000,58001000,59901000
1982,118728000,58400000,60329000
1983,119536000,58786000,60750000
1984,120305000,59150000,61155000
1985,121049000,59497000,61552000
1986,121660000,59788000,61871000
1987,122239000,60058000,62181000
1988,122745000,60302000,62443000
1989,123205000,60515000,62690000
1990,123611000,60697000,62914000
1991,124101000,60934000,63167000
1992,124567000,61155000,63413000
1993,124938000,61317000,63621000
1994,125265000,61446000,63819000
1995,125570000,61574000,63996000
1996,125859000,61698000,64161000
1997,126157000,61827000,64329000
1998,126472000,61952000,64520000
1999,126667000,62017000,64650000
2000,126926000,62111000,64815000
