"Age","Total","Male","Female"
2,5202000,2669000,2533000
7,5294000,2710000,2585000
12,5643000,2890000,2753000
17,5986000,3065000,2921000
22,6233000,3209000,3024000
27,6583000,3372000,3210000
32,7358000,3736000,3622000
37,8445000,4277000,4167000
42,9796000,4957000,4839000
47,8687000,4370000,4317000
52,7884000,3948000,3936000
57,7576000,3763000,3813000
62,8637000,4239000,4398000
67,9528000,4599000,4929000
72,7840000,3645000,4195000
77,6319000,2800000,3519000
82,4972000,1994000,2978000
87,3136000,1064000,2072000
92,1366000,336000,1030000
97,382000,68000,314000
